code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
13,3484,20046,23.4,69.7,11.4,30.3,15.8
13,4480,20786,23.4,69.7,8.9,31.4,15.7
50,5414,19684,23.5,69.7,7,31.4,14.7
76,904,19404,23.6,73.1,4.9,28.3,14.8
56,5515,21086,23.6,61.5,13.2,37.8,16.4
54,538,19964,23.7,66.8,7.1,34.3,15.6
60,756,19588,23.7,77.5,6.5,24.8,14.9
59,1204,20210,23.7,76,6.7,26.2,15
22,1111,20538,24,60.9,12.5,37.5,15.8
10,1238,19478,24,67.7,8.9,33.3,15.7
44,30035,21558,24,78.4,10.7,23.6,16.3
68,523,19438,24.1,72.6,7.4,28.3,14.6
36,988,18574,24.1,61.1,9.6,37.2,15.9
91,2308,20789,24.2,84.1,6.5,20.5,16.4
44,6480,19494,24.2,64.7,8.3,35.2,15.5
62,728,19352,24.3,68,7.4,33.1,16.2
94,1726,21570,24.3,86.2,7.3,19.9,17.1
93,3115,21472,24.3,80.9,7.4,24.3,16.7
33,24127,21886,24.3,79.5,12.5,23,17.2
67,1294,20610,24.4,70.9,10,30.1,15.6
67,1122,20120,24.5,72.3,9.9,29.6,17
69,644,19076,24.6,77.5,6.4,23,15.4
59,1765,18290,24.6,70.9,5.3,30,14.5
69,2534,19450,24.6,73.5,9.2,25.9,15.4
83,3711,19682,24.6,58.2,13.7,40.9,17.6
21,609,19456,24.7,69.7,7.1,31.4,14.9
2A,2319,20370,24.7,72.1,11.1,29.6,16.1
31,2427,20066,24.7,72.2,9.2,28.1,15.7
52,2607,19560,24.8,65.3,9,34.9,16.6
93,5507,20954,24.8,87.1,6.6,18.9,17
28,875,19066,25,56.6,10.5,41.6,17.4
77,626,19456,25.1,75.7,7.7,26.4,16.9
56,896,19124,25.1,59.1,11.5,38.1,16.6
06,1659,19618,25.1,68.3,16.5,29.4,17.7
56,1692,18392,25.1,63.8,6.9,34.8,15.8
94,2013,21638,25.1,85.3,7.1,21.1,18
59,2072,19994,25.1,74.5,6.2,27.2,16.2
49,2732,18450,25.1,59.7,10.7,38.1,16.7
74,1042,19246,25.3,74.5,10.1,24.7,15.7
59,2012,18456,25.3,67.5,10.2,29.8,15.8
35,709,19318,25.4,62.1,10.6,36,16.8
58,736,18814,25.4,54.2,10.3,44,17.2
01,1310,19420,25.4,72.7,9.5,26.9,17.2
13,3233,19376,25.4,73.1,7.9,27.8,18.2
85,1281,18566,25.6,57.3,10.1,40.2,17.1
17,2742,19316,25.7,58.5,10.9,39.5,17.6
32,2774,19502,25.7,62.2,10.9,36.6,17
12,964,18780,25.8,56.3,12.1,40.8,17.6
77,1523,19852,25.8,88,3.6,16.2,17
13,3566,19738,25.8,73.6,9.6,26.9,16.9
83,3862,19304,25.8,65.7,11.1,33.1,17.7
54,1643,21384,25.9,71.7,10.9,30.8,18.6
38,2468,18785,25.9,75.2,7.8,24.5,17
29,11726,18994,25.9,70,7.8,30.2,17.1
16,704,18490,26,65.9,7.7,31.5,15.4
13,3412,19516,26,75.8,6.1,24.9,16.5
19,3561,18802,26,60.7,11.9,37.6,16.6
64,3980,18840,26,68.6,10.4,30.3,16.5
70,700,18194,26.1,68.6,6.2,31.1,17.2
54,728,18668,26.1,74.2,6.1,27,17.1
