code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
10,11334,15802,37.9,65.7,9.3,29.4,26.2
62,801,15264,38,73.4,3.6,22.7,23.1
62,5957,16006,38,67.3,10.6,28.9,28
16,1919,16084,38.1,56.7,8.3,36.9,25.8
92,2643,15144,38.1,78.6,4.2,21,25.3
59,2568,15310,38.2,66.7,4.8,28.5,25
25,2035,15512,38.3,63.7,6.8,31.5,25
76,4535,15870,38.3,64.2,5.4,32.2,26.3
91,6703,15806,38.3,79.8,5.1,20.5,27.5
78,1096,15806,38.4,80.4,5,19.6,25.3
45,1405,15266,38.4,65.4,9.4,29.7,25.9
84,2607,15428,38.4,66.2,10.9,28.3,27.6
95,3562,15112,38.4,78.8,4.6,20.1,27
80,4194,15724,38.4,61.2,9.5,33.5,27.6
59,1037,14962,38.6,63.8,4.1,29.9,25.4
76,2278,15744,38.6,65.7,4.6,30.7,25.5
52,3393,15238,38.6,59.2,8.2,34.9,26.3
08,10073,15792,38.7,62.6,8.3,33.2,28.2
93,5624,15827,38.8,87,5.1,15.5,29.3
62,1394,14982,38.9,60,5,35.1,26.4
02,2011,15412,38.9,62.1,7.1,33.3,27.6
10,2189,15258,39,59.2,6.5,35.5,26
59,1504,14798,39.1,63.1,7.4,29.3,26
93,10112,15544,39.1,76.7,6.2,22.3,29.4
30,1354,15088,39.2,65.3,8,29.5,28.9
92,5217,15088,39.2,78.5,3.8,20.3,27
59,8659,15640,39.2,66.1,8.1,29.2,26.9
02,4814,15472,39.3,60.8,12,32.3,27.8
27,9752,15638,39.3,68.5,7.9,27.8,27.8
13,1587,15238,39.5,65.2,10,28.9,30.4
02,9852,15426,39.5,62.7,8.2,32.5,28
54,1237,15168,39.6,35.9,38.8,24.1,29.7
59,623,14962,39.9,63.9,4.3,30.9,26.4
89,1510,15228,39.9,57.3,9.2,36.7,29.5
30,26514,15775,40,63.2,11,31.7,29.3
30,7360,15000,40.1,51.9,10.7,39.4,29
59,18103,14942,40.1,72.2,5.6,21.9,27.4
59,1054,14692,40.2,63.2,3.6,30.5,25.3
60,2966,15010,40.3,69,5.3,27.7,27.5
57,4246,14978,40.3,61.3,8.1,33.2,29.5
91,10930,15010,40.3,82.6,4.2,17.1,26.7
62,1280,14914,40.4,65,3.9,30.2,27.8
30,2102,14974,40.4,66.1,9.1,27.1,29.4
78,4340,14808,40.4,72.2,4.7,25.4,27
62,1206,14648,40.5,68.9,4,25.2,27.5
69,3224,14944,40.5,65.2,6.9,28.1,27.7
38,770,15182,40.6,60,8.9,33.4,29.9
34,1116,14739,40.6,55.8,8.4,36.8,28.8
93,2038,15032,40.6,79.8,6.3,20.4,31.3
84,3025,15146,40.7,62,11.6,31.4,29.6
93,4468,15242,40.7,81.8,6.2,19,30.8
78,3713,14406,41.1,79.6,3.4,17.5,25.9
93,7093,14852,41.1,84,5.4,17.6,31.2
89,825,14496,41.2,55.5,6.2,38.3,27.2
94,1931,14430,41.3,79.9,4.1,17.6,29.2
51,1930,14526,41.5,57.8,7.7,35.4,27.1
62,1382,14305,41.6,66.2,4.3,27.5,28.1
62,14760,14492,41.8,64.5,6,29.3,30.5
59,2888,14756,41.9,61.9,6.5,31.6,30
93,6180,14650,41.9,79.1,5.5,20,31.2
70,687,14471,42,58,7.3,34.6,29
28,5637,14442,42,67.7,6.8,27.2,29.6
62,4005,14126,42.1,61.8,5.3,32.4,29.1
02,6661,14748,42.1,62.6,8.1,31.9,30.8
25,862,14362,42.3,60.3,5.3,33.2,28.8
59,2308,14314,42.4,64.2,5.4,29.3,29.1
93,8559,14312,42.5,77.1,5.1,20.6,31.1
59,1212,14270,42.6,63.9,6.7,27.9,29.2
59,1723,14146,42.6,64.5,4.3,27.3,28.7
76,3757,14640,42.8,64.5,5.6,27.4,29.3
25,482,13946,42.9,61.4,5.3,30.9,25.4
62,3175,14160,42.9,64.7,4,28.5,30
62,3493,14512,42.9,66.4,10.1,25.8,31.7
97,9363,14494,43,81.7,6.6,12.3,33.3
33,3670,14156,43.1,66.5,5,27.5,29.3
93,7391,14018,43.1,77.9,4.9,19.9,30.7
84,15347,14532,43.1,64.3,10.3,29,31.1
66,25665,14460,43.4,57,11.4,34.7,31.5
45,2221,14120,43.7,58.2,6.2,35.9,31.4
60,2696,13972,43.8,61.3,7.6,31.9,31.1
60,2125,13866,43.9,68.6,4.4,25.5,29.3
45,3423,14180,44.1,61.1,10.4,32.3,32.5
08,3741,13972,44.2,57,7.3,33.7,32.2
62,5848,13976,44.2,62.7,4.2,30.7,30.7
62,8047,14020,44.3,61.8,6.9,30.8,31.3
94,5034,13676,44.5,77.9,5,19.4,33.9
34,15394,14082,44.5,56.8,11,35,33.6
93,7149,13708,44.7,76.5,4.6,21.3,31.6
78,6929,13604,45.1,72.6,6.3,24.5,32.5
59,1720,13498,45.3,61.6,4.8,28.5,30.4
59,2295,13622,45.4,60.7,6.9,29.1,32
97,43663,14130,45.4,77.6,8.2,16,34.6
69,13250,13664,45.6,66.8,5.8,26.1,30.7
93,1754,13586,45.7,81.1,2.8,15.3,31.5
62,2108,13354,45.9,57.4,5.4,33,33.2
68,20949,13602,45.9,69.2,8.6,26.1,33.2
97,31603,13714,45.9,79.4,8.5,14.5,35
62,8154,13436,46.1,59.7,6.3,32.7,33.2
93,1226,13426,46.2,80,4.3,17.6,33.8
02,1869,13478,46.2,52.7,8.1,36.1,34.1
42,1424,13464,46.6,56.8,6.5,32.7,32.2
59,4358,13018,46.8,63.9,3.7,27.6,31.1
69,3365,13066,47.3,66.2,4.5,25.5,30.4
59,2833,12976,47.8,55.1,7.2,33.4,34.1
59,1599,12694,48.1,60.7,4.4,28.7,31.4
77,4271,12708,48.4,65.7,6,25.7,33.8
95,9515,12672,48.4,74.3,4.9,19.6,33.6
59,1191,12764,48.5,60,6.6,27.8,33.4
59,2605,12716,48.7,62.4,4.5,27.2,33.5
69,9958,12610,48.8,69.1,4.9,21.6,32.6
93,1936,12446,49,75.2,3.2,18.2,33
27,2268,12480,49.3,74.2,2.9,16.8,31.9
59,7205,12508,49.3,57.8,7.1,31.8,35.6
59,2271,12390,49.7,57.6,7.4,30.6,36.2
97,7415,12414,49.8,79,4.9,11.6,39.3
59,3465,12375,49.9,57.7,6,30.4,34.9
97,11670,12192,50.3,77.1,6.8,14.1,39.9
57,1204,12248,50.6,53.9,4.6,35.5,35.5
93,6790,12080,50.7,73,3.8,19.8,37.1
93,5040,12094,51.1,75.6,4.9,18.8,38.7
93,17738,12014,51.2,81.3,4.2,15.4,38.8
95,5032,11870,51.7,76,4.1,17.4,37
30,1219,11814,52,39.1,6.5,45.1,38.9
97,28952,11542,52.3,73.9,7.7,15.1,41.4
02,653,11646,52.4,60.9,7,27.3,40.6
97,26520,11158,53.5,66.7,8.1,20.3,42.3
95,7022,11422,54.1,75.4,3.5,17.1,39.7
60,6704,11326,54.2,68.5,3.9,22.3,38.5
59,2067,10272,57.3,53.3,5.4,30.5,43.2
97,23673,9486,58.8,71.7,5.9,11.1,47
59,34075,9560,59.5,63,5.9,21,44.3
97,14656,9442,59.9,65.2,6.3,17.3,48.3
97,16347,9236,60.1,70.1,4.6,12.8,48
91,5647,10072,60.7,74.9,3.4,16.3,45.5
97,23597,9186,61.4,67.8,6,14.3,49.8
97,15131,8194,65.7,63,4,13.3,49.1
