code departement,EC_MAT,EC_ELEM,COLL,LYC,CFA
97,6,20,3,1,0
97,7,18,3,1,0
97,7,19,5,4,1
97,7,23,6,3,3
97,8,13,3,1,0
97,8,32,7,3,0
97,10,21,5,4,0
97,10,22,5,4,0
97,14,14,4,2,3
97,15,28,9,4,6
97,15,28,10,4,3
97,18,48,9,6,4
97,19,48,9,6,3
97,30,49,14,10,7
97,31,50,13,10,8
97,31,51,13,10,6
